pid,task,adherence,file,spectrogram
1f9475bb-f13b-4f68-969b-28f20455b3e7,Loudness,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Loudness_rec-Loudness.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_0.png
1f9475bb-f13b-4f68-969b-28f20455b3e7,Respiration-and-cough-Breath-2,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Respiration-and-cough_rec-Respiration-and-cough-Breath-2.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_1.png
1f9475bb-f13b-4f68-969b-28f20455b3e7,Respiration-and-cough-FiveBreaths-1,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Respiration-and-cough_rec-Respiration-and-cough-FiveBreaths-1.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_2.png
1f9475bb-f13b-4f68-969b-28f20455b3e7,Respiration-and-cough-ThreeQuickBreaths-2,4.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Respiration-and-cough_rec-Respiration-and-cough-ThreeQuickBreaths-2.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_3.png
1f9475bb-f13b-4f68-969b-28f20455b3e7,Maximum-phonation-time-1,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Maximum-phonation-time_rec-Maximum-phonation-time-1.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_4.png
1f9475bb-f13b-4f68-969b-28f20455b3e7,Respiration-and-cough-FiveBreaths-4,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Respiration-and-cough_rec-Respiration-and-cough-FiveBreaths-4.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_5.png
1f9475bb-f13b-4f68-969b-28f20455b3e7,Diadochokinesis-Pataka,3.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Diadochokinesis_rec-Diadochokinesis-Pataka.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_6.png
49d831ec-f348-43de-8202-15f659196b02,Prolonged-vowel,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Prolonged-vowel_rec-Prolonged-vowel.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_7.png
49d831ec-f348-43de-8202-15f659196b02,Diadochokinesis-PA,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Diadochokinesis_rec-Diadochokinesis-PA.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_8.png
49d831ec-f348-43de-8202-15f659196b02,Loudness,3.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Loudness_rec-Loudness.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_9.png
49d831ec-f348-43de-8202-15f659196b02,Respiration-and-cough-Cough-1,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Respiration-and-cough_rec-Respiration-and-cough-Cough-1.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_10.png
49d831ec-f348-43de-8202-15f659196b02,Maximum-phonation-time-2,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Maximum-phonation-time_rec-Maximum-phonation-time-2.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_11.png
4464b02f-bee1-4b72-84e5-55700c8bbc67,Diadochokinesis-buttercup,4.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-4464b02f-bee1-4b72-84e5-55700c8bbc67/ses-AD71D502-11D0-4FF2-B88B-10BA2D86EC28/audio/sub-4464b02f-bee1-4b72-84e5-55700c8bbc67_ses-AD71D502-11D0-4FF2-B88B-10BA2D86EC28_Diadochokinesis_rec-Diadochokinesis-buttercup.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_12.png
4464b02f-bee1-4b72-84e5-55700c8bbc67,Glides-Low-to-High,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-4464b02f-bee1-4b72-84e5-55700c8bbc67/ses-AD71D502-11D0-4FF2-B88B-10BA2D86EC28/audio/sub-4464b02f-bee1-4b72-84e5-55700c8bbc67_ses-AD71D502-11D0-4FF2-B88B-10BA2D86EC28_Glides_rec-Glides-Low-to-High.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_13.png
4464b02f-bee1-4b72-84e5-55700c8bbc67,Maximum-phonation-time-1,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-4464b02f-bee1-4b72-84e5-55700c8bbc67/ses-AD71D502-11D0-4FF2-B88B-10BA2D86EC28/audio/sub-4464b02f-bee1-4b72-84e5-55700c8bbc67_ses-AD71D502-11D0-4FF2-B88B-10BA2D86EC28_Maximum-phonation-time_rec-Maximum-phonation-time-1.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_14.png
4464b02f-bee1-4b72-84e5-55700c8bbc67,Glides-High-to-Low,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-4464b02f-bee1-4b72-84e5-55700c8bbc67/ses-AD71D502-11D0-4FF2-B88B-10BA2D86EC28/audio/sub-4464b02f-bee1-4b72-84e5-55700c8bbc67_ses-AD71D502-11D0-4FF2-B88B-10BA2D86EC28_Glides_rec-Glides-High-to-Low.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_15.png
68e4e374-f442-435f-8fd4-8a7c7023732a,Respiration-and-cough-FiveBreaths-3,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-68e4e374-f442-435f-8fd4-8a7c7023732a/ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9/audio/sub-68e4e374-f442-435f-8fd4-8a7c7023732a_ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9_Respiration-and-cough_rec-Respiration-and-cough-FiveBreaths-3.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_16.png
68e4e374-f442-435f-8fd4-8a7c7023732a,Diadochokinesis-PA,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-68e4e374-f442-435f-8fd4-8a7c7023732a/ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9/audio/sub-68e4e374-f442-435f-8fd4-8a7c7023732a_ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9_Diadochokinesis_rec-Diadochokinesis-PA.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_17.png
68e4e374-f442-435f-8fd4-8a7c7023732a,Respiration-and-cough-FiveBreaths-2,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-68e4e374-f442-435f-8fd4-8a7c7023732a/ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9/audio/sub-68e4e374-f442-435f-8fd4-8a7c7023732a_ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9_Respiration-and-cough_rec-Respiration-and-cough-FiveBreaths-2.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_18.png
68e4e374-f442-435f-8fd4-8a7c7023732a,Respiration-and-cough-FiveBreaths-1,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-68e4e374-f442-435f-8fd4-8a7c7023732a/ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9/audio/sub-68e4e374-f442-435f-8fd4-8a7c7023732a_ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9_Respiration-and-cough_rec-Respiration-and-cough-FiveBreaths-1.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_19.png
68e4e374-f442-435f-8fd4-8a7c7023732a,Respiration-and-cough-FiveBreaths-4,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-68e4e374-f442-435f-8fd4-8a7c7023732a/ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9/audio/sub-68e4e374-f442-435f-8fd4-8a7c7023732a_ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9_Respiration-and-cough_rec-Respiration-and-cough-FiveBreaths-4.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_20.png
68e4e374-f442-435f-8fd4-8a7c7023732a,Diadochokinesis-Pataka,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-68e4e374-f442-435f-8fd4-8a7c7023732a/ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9/audio/sub-68e4e374-f442-435f-8fd4-8a7c7023732a_ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9_Diadochokinesis_rec-Diadochokinesis-Pataka.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_21.png
68e4e374-f442-435f-8fd4-8a7c7023732a,Respiration-and-cough-Breath-1,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-68e4e374-f442-435f-8fd4-8a7c7023732a/ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9/audio/sub-68e4e374-f442-435f-8fd4-8a7c7023732a_ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9_Respiration-and-cough_rec-Respiration-and-cough-Breath-1.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_22.png
68e4e374-f442-435f-8fd4-8a7c7023732a,Respiration-and-cough-Breath-2,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-68e4e374-f442-435f-8fd4-8a7c7023732a/ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9/audio/sub-68e4e374-f442-435f-8fd4-8a7c7023732a_ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9_Respiration-and-cough_rec-Respiration-and-cough-Breath-2.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_23.png
68e4e374-f442-435f-8fd4-8a7c7023732a,Respiration-and-cough-ThreeQuickBreaths-2,3.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-68e4e374-f442-435f-8fd4-8a7c7023732a/ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9/audio/sub-68e4e374-f442-435f-8fd4-8a7c7023732a_ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9_Respiration-and-cough_rec-Respiration-and-cough-ThreeQuickBreaths-2.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_24.png
68e4e374-f442-435f-8fd4-8a7c7023732a,Respiration-and-cough-Cough-2,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-68e4e374-f442-435f-8fd4-8a7c7023732a/ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9/audio/sub-68e4e374-f442-435f-8fd4-8a7c7023732a_ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9_Respiration-and-cough_rec-Respiration-and-cough-Cough-2.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_25.png
68e4e374-f442-435f-8fd4-8a7c7023732a,Glides-Low-to-High,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-68e4e374-f442-435f-8fd4-8a7c7023732a/ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9/audio/sub-68e4e374-f442-435f-8fd4-8a7c7023732a_ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9_Glides_rec-Glides-Low-to-High.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_26.png
68e4e374-f442-435f-8fd4-8a7c7023732a,Loudness,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-68e4e374-f442-435f-8fd4-8a7c7023732a/ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9/audio/sub-68e4e374-f442-435f-8fd4-8a7c7023732a_ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9_Loudness_rec-Loudness.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_27.png
68e4e374-f442-435f-8fd4-8a7c7023732a,Respiration-and-cough-ThreeQuickBreaths-1,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-68e4e374-f442-435f-8fd4-8a7c7023732a/ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9/audio/sub-68e4e374-f442-435f-8fd4-8a7c7023732a_ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9_Respiration-and-cough_rec-Respiration-and-cough-ThreeQuickBreaths-1.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_28.png
68e4e374-f442-435f-8fd4-8a7c7023732a,Diadochokinesis-TA,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-68e4e374-f442-435f-8fd4-8a7c7023732a/ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9/audio/sub-68e4e374-f442-435f-8fd4-8a7c7023732a_ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9_Diadochokinesis_rec-Diadochokinesis-TA.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_29.png
68e4e374-f442-435f-8fd4-8a7c7023732a,Respiration-and-cough-Cough-1,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-68e4e374-f442-435f-8fd4-8a7c7023732a/ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9/audio/sub-68e4e374-f442-435f-8fd4-8a7c7023732a_ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9_Respiration-and-cough_rec-Respiration-and-cough-Cough-1.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_30.png
68e4e374-f442-435f-8fd4-8a7c7023732a,Maximum-phonation-time-2,5.0,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-68e4e374-f442-435f-8fd4-8a7c7023732a/ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9/audio/sub-68e4e374-f442-435f-8fd4-8a7c7023732a_ses-81CA7CAF-FB25-4AD7-88AF-D5F3C418BBF9_Maximum-phonation-time_rec-Maximum-phonation-time-2.wav,/Users/rachelwang/Downloads/notes/models/adherence_spectrograms/spectrogram_31.png
